id,title,description,"item group id",link,"product type","google product category","image link",condition,availability,price,"sale price",mpn,brand,"canonical link","additional image link","additional image link","additional image link","additional image link","additional image link","identifier exists"
37,Cushion,"On the other hand, the botanical sense of ""fruit"" includes many structures that are not commonly called ""fruits"", such as bean pods, corn kernels, wheat grains, and tomatoes.Some vegetables can be consumed raw, while some, such as cassava, must be cooked to destroy certain natural toxins or microbes in order to be edible.But with the blast shield down, I can't even see!The MacBook Pro is a line of Macintosh portable computers introduced in January 2006 by Apple Inc., and now in its third generation.In your time, yes, but nowadays shut up!",37,http://localhost/website/corsivalab-exam/product/cushion/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"All Preschool > Playsets > Floor Games",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872575-783563757.png,new,in_stock,"22.56  USD","22.56  USD",,Localhost,http://localhost/website/corsivalab-exam/product/cushion/,,,,,,no
35,Album,"All I want is to be a monkey of moderate intelligence who wears a suit ... that's why I'm transferring to business school!Strange women lying in ponds distributing swords is no basis for a system of government.iPhone is a line of smartphones designed and marketed by Apple Inc.Do eiusmod tempor incididunt ut labore et dolore magna aliqua.Basic mobile phone services to allow users to make calls and send text messages.I want to learn the ways of the Force and be a Jedi, like my father before me.You're all clear, kid.Besides, these are adult stemcells, harvested from perfectly healthy adults whom I killed for their stemcells.A battery, providing the power source for the phone functions.She needs your help.",35,http://localhost/website/corsivalab-exam/product/album/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Ethnic Dolls",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872574-2070627521.png,new,in_stock,"30.50  USD","30.50  USD",Corsivalab_83511,Localhost,http://localhost/website/corsivalab-exam/product/album/,,,,,,yes
33,Cool,"Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam.But with the blast shield down, I can't even see!What?!All I want is to be a monkey of moderate intelligence who wears a suit ... that's why I'm transferring to business school!",33,http://localhost/website/corsivalab-exam/product/cool/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Battling Tops",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872574-1222302800.png,new,in_stock,"98.50  USD","98.50  USD",Corsivalab_19468,Localhost,http://localhost/website/corsivalab-exam/product/cool/,,,,,,yes
31,"Hot Lamb","While their products leave much to be desired, Acme delivery service is second to none;These products may or may not maintain the nutritional integrity of the vegetable used to produce them.But with the blast shield down, I can't even see!How am I supposed to fight?There's nothing for me here now.I want to learn the ways of the Force and be a Jedi, like my father before me.While it is botanically a fruit, it is considered a vegetable for culinary purposes (as well as under U.S. customs regulations, see Nix v. Hedden), which has caused some confusion.",31,http://localhost/website/corsivalab-exam/product/hot-lamb/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Fashion Dolls > Learning &amp; Exploration > Building Sets",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872574-1594452981.png,new,in_stock,"81.30  USD","81.30  USD",Corsivalab_36593,Localhost,http://localhost/website/corsivalab-exam/product/hot-lamb/,,,,,,yes
29,Lotion,"It's just like the story of the grasshopper and the octopus.Supreme executive power derives from a mandate from the masses, not from some farcical aquatic ceremony.The tomato is consumed in diverse ways, including raw, as an ingredient in many dishes, sauces, salads, and drinks.I'm getting too old for this sort of thing.I need your help, Luke.",29,http://localhost/website/corsivalab-exam/product/lotion/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"All Stuffed Animals &amp; Toys",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872573-494025342.png,new,in_stock,"72.26  USD","72.26  USD",Corsivalab_44121,Localhost,http://localhost/website/corsivalab-exam/product/lotion/,,,,,,yes
27,"Mac Video","Besides, attacking that battle station ain't my idea of courage.Some vegetables also contain fiber, important for gastrointestinal function.",27,http://localhost/website/corsivalab-exam/product/mac-video/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Science Fiction &amp; Fantasy Figures > Musical Instruments",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872573-1820240601.png,new,in_stock,"44.62  USD","44.62  USD",Corsivalab_92483,Localhost,http://localhost/website/corsivalab-exam/product/mac-video/,,,,,,yes
25,"Red Gold Mixer","What?!This time, let go your conscious self and act on instinct.",25,http://localhost/website/corsivalab-exam/product/red-gold-mixer/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,Paintbrushes,,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872573-1080750560.png,new,in_stock,"45.74  USD","45.74  USD",Corsivalab_26586,Localhost,http://localhost/website/corsivalab-exam/product/red-gold-mixer/,,,,,,yes
23,Refrigerator,"The most common input mechanism is a keypad, but touch screens are also found in some high-end smartphones.All GSM phones use a SIM card to allow an account to be swapped among devices.",23,http://localhost/website/corsivalab-exam/product/refrigerator/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Prisms &amp; Kaleidoscopes > Toddler Dolls > Room Décor",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872572-2126867642.png,new,in_stock,"34.22  USD","34.22  USD",Corsivalab_34642,Localhost,http://localhost/website/corsivalab-exam/product/refrigerator/,,,,,,yes
21,Red,"The first generation iPhone was released on June 29, 2007; the most recent iPhones, the seventh-generation iPhone 5C and iPhone 5S, were introduced on September 10, 2013.Don't act so surprised, Your Highness.",21,http://localhost/website/corsivalab-exam/product/red/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Bendable Figures",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872572-721825801.png,new,in_stock,"60.80  USD","60.80  USD",Corsivalab_86438,Localhost,http://localhost/website/corsivalab-exam/product/red/,,,,,,yes
19,White,"What do you mean?",19,http://localhost/website/corsivalab-exam/product/white/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Jigsaw Puzzles > All Music > Spring &amp; Wind-up Toys",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872572-1530533252.png,new,in_stock,"92.35  USD","92.35  USD",Corsivalab_53112,Localhost,http://localhost/website/corsivalab-exam/product/white/,,,,,,yes
17,Juice,"Basic mobile phone services to allow users to make calls and send text messages.I want to know what happened to the plans they sent you.I want to come with you to Alderaan.",17,http://localhost/website/corsivalab-exam/product/juice/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=zxczxcxz,"Plug &amp; Play Video Games",,http://localhost/website/corsivalab-exam/wp-content/uploads/2022/02/product-1645872561-1204665420.png,new,in_stock,"78.44  USD","78.44  USD",Corsivalab_25796,Localhost,http://localhost/website/corsivalab-exam/product/juice/,,,,,,yes
